,Value,Feature
737,0.0,f23 f75
738,0.0,f23 f76
739,0.0,f23 f77
740,0.0,f23 f78
741,0.0,f23 f79
742,0.0,f23 f80
743,0.0,f23 f81
744,0.0,f23 f82
745,0.0,f23 f84
746,0.0,f23 f86
747,0.0,f23 f90
748,0.0,f23 f91
749,0.0,f23 f93
750,0.0,f23 f94
751,0.0,f23 f95
752,0.0,f23 f96
753,0.0,f23 f97
754,0.0,f23^2
755,0.0,f24 f27
756,0.0,f24 f31
757,0.0,f24 f34
758,0.0,f24 f35
759,0.0,f24 f37
760,0.0,f24 f43
761,0.0,f24 f49
762,0.0,f24 f50
763,0.0,f24 f51
764,0.0,f24 f57
765,0.0,f24 f59
766,0.0,f24 f62
767,0.0,f24 f63
768,0.0,f24 f64
769,0.0,f24 f66
770,0.0,f24 f69
771,0.0,f24 f70
772,0.0,f24 f72
773,0.0,f24 f73
774,0.0,f24 f74
775,0.0,f24 f78
776,0.0,f24 f79
777,0.0,f24 f81
778,0.0,f24 f84
779,0.0,f24 f85
780,0.0,f24 f86
781,0.0,f24 f87
782,0.0,f24 f89
783,0.0,f24 f92
784,0.0,f24 f93
785,0.0,f24 f94
786,0.0,f24 f95
787,0.0,f24 f96
788,0.0,f24 f98
789,0.0,f24 f99
790,0.0,f24^2
791,0.0,f25 f27
792,0.0,f25 f28
793,0.0,f25 f30
794,0.0,f25 f31
795,0.0,f25 f32
796,0.0,f25 f35
797,0.0,f25 f36
798,0.0,f25 f37
799,0.0,f25 f38
800,0.0,f25 f39
801,0.0,f25 f40
802,0.0,f25 f42
803,0.0,f25 f46
804,0.0,f25 f51
805,0.0,f25 f53
806,0.0,f25 f55
807,0.0,f25 f57
808,0.0,f25 f59
809,0.0,f25 f64
810,0.0,f25 f68
811,0.0,f25 f71
812,0.0,f25 f74
813,0.0,f25 f75
814,0.0,f25 f77
815,0.0,f25 f78
816,0.0,f25 f79
817,0.0,f25 f80
818,0.0,f25 f82
819,0.0,f25 f84
820,0.0,f25 f86
821,0.0,f25 f87
822,0.0,f25 f89
823,0.0,f25 f90
824,0.0,f25 f93
825,0.0,f25 f95
826,0.0,f25 f97
827,0.0,f25 f98
828,0.0,f26 f28
829,0.0,f26 f29
830,0.0,f26 f30
831,0.0,f26 f32
832,0.0,f26 f33
833,0.0,f26 f35
834,0.0,f26 f36
835,0.0,f26 f39
836,0.0,f26 f40
837,0.0,f26 f41
838,0.0,f26 f42
839,0.0,f26 f44
840,0.0,f26 f45
841,0.0,f26 f46
842,0.0,f26 f47
843,0.0,f26 f48
844,0.0,f26 f49
845,0.0,f26 f50
846,0.0,f26 f51
847,0.0,f26 f52
848,0.0,f26 f54
849,0.0,f26 f55
850,0.0,f26 f56
851,0.0,f26 f58
852,0.0,f26 f59
853,0.0,f26 f60
854,0.0,f26 f61
855,0.0,f26 f62
856,0.0,f26 f63
857,0.0,f26 f65
858,0.0,f26 f69
859,0.0,f26 f71
860,0.0,f26 f72
861,0.0,f26 f73
862,0.0,f26 f76
863,0.0,f26 f77
864,0.0,f26 f81
865,0.0,f26 f82
